"player_id","FirstName","Surname","PositionsList","Team","Cost","TotalPoints"
"Mane_Sadio_MID","Sadio","Mane","MID","LIV",10300000,231
"March_Solomon_MID","Solomon","March","MID","BHA",4700000,94
"Mariappa_Adrian_DEF","Adrian","Mariappa","DEF","WAT",4200000,57
"Masuaku_Arthur_MID","Arthur","Masuaku","MID","WHU",4200000,49
"Matic_Nemanja_MID","Nemanja","Matic","MID","MUN",5e+06,59
"McArthur_James_MID","James","McArthur","MID","CRY",4900000,121
"Mee_Ben_DEF","Ben","Mee","DEF","BUR",4600000,81
"Mendy_Nampalys_MID","Nampalys","Mendy","MID","LEI",4300000,58
"Milivojevic_Luka_MID","Luka","Milivojevic","MID","CRY",6500000,166
"Milner_James_MID","James","Milner","MID","LIV",5600000,101
"Mitrovic_Aleksandar_FWD","Aleksandar","Mitrovic","FWD","FUL",6300000,134
"Monreal_Nacho_DEF","Nacho","Monreal","DEF","ARS",5400000,77
"Montoya_Martin_DEF","Martin","Montoya","DEF","BHA",4300000,45
"Mooy_Aaron_MID","Aaron","Mooy","MID","HUD",5e+06,76
"Morgan_Wes_DEF","Wes","Morgan","DEF","LEI",4500000,76
"Morrison_Sean_DEF","Sean","Morrison","DEF","CAR",4700000,97
"Mounie_Steve_FWD","Steve","Mounie","FWD","HUD",5800000,69
"Moutinho_NAMELESS_MID","NAMELESS","Moutinho","MID","WOL",5100000,119
"Murphy_Josh_MID","Josh","Murphy","MID","CAR",4800000,76
"Murray_Glenn_FWD","Glenn","Murray","FWD","BHA",6100000,129
"Mustafi_Shkodran_DEF","Shkodran","Mustafi","DEF","ARS",5400000,80
"Ndidi_Wilfred_MID","Wilfred","Ndidi","MID","LEI",4900000,89
"Neves_NAMELESS_MID","NAMELESS","Neves","MID","WOL",4900000,104
"Noble_Mark_MID","Mark","Noble","MID","WHU",4800000,99
"Odoi_Denis_DEF","Denis","Odoi","DEF","FUL",4400000,44
"Ogbonna_Angelo_DEF","Angelo","Ogbonna","DEF","WHU",4200000,48
"Oriol Romeu_NAMELESS_MID","NAMELESS","Oriol Romeu","MID","SOU",4200000,55
"Ozil_Mesut_MID","Mesut","Ozil","MID","ARS",7900000,89
"Paterson_Callum_MID","Callum","Paterson","MID","CAR",4800000,80
"Pedro_NAMELESS_MID","NAMELESS","Pedro","MID","CHE",6200000,112
"Pereira_NAMELESS_DEF","NAMELESS","Pereira","DEF","LEI",5300000,146
"Pereyra_Roberto_MID","Roberto","Pereyra","MID","WAT",5900000,122
"Perez_Ayoze_FWD","Ayoze","Perez","FWD","NEW",6100000,141
"Pogba_Paul_MID","Paul","Pogba","MID","MUN",8600000,179
"Pritchard_Alex_MID","Alex","Pritchard","MID","HUD",4800000,69
"Propper_Davy_MID","Davy","Propper","MID","BHA",4800000,72
"Ralls_Joe_MID","Joe","Ralls","MID","CAR",4600000,45
"Rashford_Marcus_FWD","Marcus","Rashford","FWD","MUN",7300000,128
"Ream_Tim_DEF","Tim","Ream","DEF","FUL",4200000,50
"Redmond_Nathan_MID","Nathan","Redmond","MID","SOU",5500000,137
"Rice_Declan_DEF","Declan","Rice","DEF","WHU",4400000,92
"Richarlison_NAMELESS_MID","NAMELESS","Richarlison","MID","EVE",6400000,153
"Ritchie_Matt_MID","Matt","Ritchie","MID","NEW",5800000,110
"Robertson_Andrew_DEF","Andrew","Robertson","DEF","LIV",6700000,213
"Rondon_Salomon_FWD","Salomon","Rondon","FWD","NEW",5900000,148
"Rose_Danny_DEF","Danny","Rose","DEF","TOT",5800000,86
"Rudiger_Antonio_DEF","Antonio","Rudiger","DEF","CHE",5900000,116
"Sakho_Mamadou_DEF","Mamadou","Sakho","DEF","CRY",4900000,88
"Salah_Mohamed_MID","Mohamed","Salah","MID","LIV",13200000,259
"Sanchez_Davinson_DEF","Davinson","Sanchez","DEF","TOT",5800000,78
"Sane_Leroy_MID","Leroy","Sane","MID","MCI",9300000,156
"Schar_Fabian_DEF","Fabian","Schar","DEF","NEW",4500000,93
"Schindler_Christopher_DEF","Christopher","Schindler","DEF","HUD",4200000,76
"Seri_Jean Michael_MID","Jean Michael","Seri","MID","FUL",4900000,72
"Sessegnon_Ryan_MID","Ryan","Sessegnon","MID","FUL",6e+06,94
"Shaw_Luke_DEF","Luke","Shaw","DEF","MUN",5100000,91
